"Sp","Organism","Limb_width","Limb_length","Observer","Volume"
"H. frenatus","Hemidactylus frenatus",1.71976217672389,22.895934363007,"Gabriel",53.1844949006395
"S. serpentarius","Sagittarius serpentarius",1.88491125525836,32.5688370915653,"Gabriel",90.8811781958208
"S. serpentarius","Sagittarius serpentarius",2.77935415707456,27.5330812153763,"Gabriel",167.044613917774
"S. serpentarius","Sagittarius serpentarius",2.03525419571229,26.5245740060227,"Matteo",86.293009715687
"Curculionoidea","Curculionoidea",2.06464386758047,20.4838143273498,"Matteo",68.5789786879396
"H. sapiens","Homo sapiens",2.85753249344164,29.5497227519108,"Gabriel",189.507170339583
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.2304581029946,22.1509553054292,"Mason",86.5506795097299
"H. sapiens","Homo sapiens",1.36746938269673,13.3205806341186,"Gabriel",19.563576815412
"H. sapiens","Homo sapiens",1.65657357405324,26.1977347971224,"Mason",56.4644472517115
"H. sapiens","Homo sapiens",1.77716901495002,39.1899660906077,"Matteo",97.2125274143961
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.61204089871973,24.2465303739161,"Mason",129.92700504653
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.17990691352868,36.0796432222503,"Mason",134.65671428028
"H. sapiens","Homo sapiens",2.20038572529703,13.8211729171084,"Mason",52.5572241503226
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.05534135797256,29.4443803447546,"Matteo",97.6922749256447
"S. serpentarius","Sagittarius serpentarius",1.72207943262296,35.1940720394346,"Matteo",81.9720430981623
"H. sapiens","Homo sapiens",2.89345656840154,33.0115336216671,"Matteo",217.064857754713
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.24892523911462,31.0567619414894,"Gabriel",123.366172676597
"S. serpentarius","Sagittarius serpentarius",1.01669142168518,23.5929399169462,"Gabriel",19.1535932988274
"Curculionoidea","Curculionoidea",2.35067795078184,21.5029565396642,"Matteo",93.3199131395738
"H. sapiens","Homo sapiens",1.76360429613603,19.7587120939509,"Matteo",48.2670560457952
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.46608814700658,31.1764659710013,"Gabriel",52.6304314726391
"Curculionoidea","Curculionoidea",1.89101254267085,20.525253858152,"Matteo",57.6457425015051
"Curculionoidea","Curculionoidea",1.48699777584638,25.0944255629933,"Gabriel",43.5800553924454
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.63555438535443,27.4390780780175,"Mason",57.648681187389
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.68748036607537,48.4386200523221,"Matteo",108.332583575235
"H. frenatus","Hemidactylus frenatus",1.15665334462879,23.4805009830454,"Matteo",24.6719613610085
"Curculionoidea","Curculionoidea",2.41889352224726,32.3538657228486,"Gabriel",148.67897660162
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.07668655891826,30.7796084956371,"Mason",104.254516101262
"H. frenatus","Hemidactylus frenatus",1.43093153149403,20.3814336586987,"Gabriel",32.7764805583167
"H. sapiens","Homo sapiens",2.62690746053496,29.286919138764,"Mason",158.727844031208
"S. serpentarius","Sagittarius serpentarius",2.21323211073841,44.4455085842335,"Matteo",170.990383607612
"H. frenatus","Hemidactylus frenatus",1.85246425850386,34.5150405307921,"Mason",93.0246284254278
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.44756283052251,30.4123292199294,"Gabriel",143.089334239147
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.43906674376652,25.7750316766038,"Mason",120.430491413229
"Curculionoidea","Curculionoidea",2.41079054081874,9.46752778459484,"Gabriel",43.2160856154281
"H. sapiens","Homo sapiens",2.34432012705005,41.3133721341418,"Gabriel",178.325872963766
"H. sapiens","Homo sapiens",2.27695882676879,15.3935992907518,"Matteo",62.6816490807361
"H. sapiens","Homo sapiens",1.96904414471164,37.3994751087733,"Mason",113.884939157371
"H. frenatus","Hemidactylus frenatus",1.84701866813004,49.0910356921748,"Matteo",131.532975872913
"S. serpentarius","Sagittarius serpentarius",1.80976449949381,15.561068390282,"Mason",40.0288784873555
"H. frenatus","Hemidactylus frenatus",1.65264651053974,37.0178433537471,"Mason",79.4073927359912
"S. serpentarius","Sagittarius serpentarius",1.8960413609902,27.3780251059753,"Mason",77.301445078883
"Curculionoidea","Curculionoidea",1.36730182421587,14.2785584085451,"Mason",20.9653940859821
"H. hydrochaeris","Hydrochoerus hydrochaeris",3.08447798266926,14.8533234621825,"Matteo",110.988215640948
"S. serpentarius","Sagittarius serpentarius",2.6039809991525,13.9846382642541,"Mason",74.4760680925825
"S. serpentarius","Sagittarius serpentarius",1.43844570839833,24.690934778297,"Matteo",40.1249369831926
"H. sapiens","Homo sapiens",1.79855758235046,15.382444150041,"Mason",39.080842865706
"H. frenatus","Hemidactylus frenatus",1.76667232318839,36.8791677297583,"Matteo",90.4030335281031
"Curculionoidea","Curculionoidea",2.38998255916816,51.0010894052567,"Gabriel",228.801463318569
"H. sapiens","Homo sapiens",1.95831546676409,17.1296952396482,"Mason",51.5946684124407
"H. sapiens","Homo sapiens",2.12665925699738,37.8773884747518,"Matteo",134.544432498282
"S. serpentarius","Sagittarius serpentarius",1.98572662232565,37.6904224100091,"Gabriel",116.7239034974
"H. frenatus","Hemidactylus frenatus",1.97856477135434,33.3220257895012,"Mason",102.45232577737
"Curculionoidea","Curculionoidea",2.68430114200723,19.9162339172299,"Gabriel",112.709253177892
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.88711450717037,28.8054739336934,"Mason",80.5677829459436
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.75823530221477,27.1960466482975,"Gabriel",162.50184046063
"Curculionoidea","Curculionoidea",1.22562359788489,35.6298953322048,"Gabriel",42.0357360418188
"H. sapiens","Homo sapiens",2.29230687481803,26.2756124389617,"Matteo",108.439683816869
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.06192712192231,39.7697338668562,"Mason",132.797282704873
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.10797078437199,26.2541914223299,"Gabriel",91.6257839834602
"Curculionoidea","Curculionoidea",2.18981974137994,40.5271146557933,"Matteo",152.634356383744
"H. frenatus","Hemidactylus frenatus",1.74883827344535,19.5082299333393,"Matteo",46.8605137544007
"H. sapiens","Homo sapiens",1.83339630816529,17.3984475524189,"Gabriel",45.9317597628414
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.49071230844646,62.410399349424,"Mason",108.92674288185
"S. serpentarius","Sagittarius serpentarius",1.46410438676221,25.8314241183957,"Gabriel",43.4892897639351
"H. sapiens","Homo sapiens",2.15176432070213,32.9822759154072,"Mason",119.938857036784
"S. serpentarius","Sagittarius serpentarius",2.22410488931471,36.3656967403385,"Mason",141.283785848007
"H. sapiens","Homo sapiens",2.02650211336525,25.1621937429126,"Mason",81.1582185083331
"H. sapiens","Homo sapiens",2.46113373393987,35.1686204431361,"Matteo",167.307588821753
"Curculionoidea","Curculionoidea",3.02504234281357,33.6896452738509,"Mason",242.130353263959
"H. frenatus","Hemidactylus frenatus",1.75448441697173,27.8461949235831,"Matteo",67.3216529573437
"H. hydrochaeris","Hydrochoerus hydrochaeris",0.845415562179594,30.6529303352532,"Matteo",17.2068889332479
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.50286926223113,29.6593274626154,"Matteo",145.924263447039
"H. frenatus","Hemidactylus frenatus",1.6453996187088,51.2845189901618,"Mason",109.048313302542
"H. sapiens","Homo sapiens",1.65599569176632,22.5866390372717,"Mason",48.6474295600074
"S. serpentarius","Sagittarius serpentarius",2.51278568484835,19.0400373292534,"Gabriel",94.420995589529
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.8576134964745,30.3778839917108,"Gabriel",82.3300001449088
"H. frenatus","Hemidactylus frenatus",1.38964114387273,33.1048074944314,"Matteo",50.2095438900918
"S. serpentarius","Sagittarius serpentarius",2.09065173987458,34.3652347891018,"Mason",117.970273206362
"H. sapiens","Homo sapiens",1.93055431878048,25.4163466728889,"Mason",74.3989931275798
"H. sapiens","Homo sapiens",2.00288209294994,19.3667386602881,"Gabriel",61.0178837087348
"Curculionoidea","Curculionoidea",2.19264020056317,42.6318517608949,"Gabriel",160.975144330838
"H. sapiens","Homo sapiens",1.8146699841038,26.5034961204645,"Gabriel",68.5469852766475
"S. serpentarius","Sagittarius serpentarius",2.32218827425942,21.3448713734663,"Gabriel",90.4020500263354
"H. sapiens","Homo sapiens",1.88975671909062,27.637204310589,"Mason",77.5167911944195
"H. sapiens","Homo sapiens",2.16589098195785,28.0282410565145,"Matteo",103.266370091312
"Curculionoidea","Curculionoidea",2.54841950657467,41.0992028971364,"Matteo",209.635641466405
"S. serpentarius","Sagittarius serpentarius",2.2175907454169,30.847372921972,"Gabriel",119.14364053061
"S. serpentarius","Sagittarius serpentarius",1.83703420723439,37.5405378518452,"Matteo",99.5004073211152
"S. serpentarius","Sagittarius serpentarius",2.57440380922555,25.0070798282774,"Mason",130.168590003585
"H. hydrochaeris","Hydrochoerus hydrochaeris",2.49675192798106,32.144453095816,"Mason",157.378974213593
"Curculionoidea","Curculionoidea",2.27419847975403,26.7531408850917,"Gabriel",108.672932807663
"H. frenatus","Hemidactylus frenatus",2.11936586755572,30.9458352817357,"Mason",109.170163913325
"H. frenatus","Hemidactylus frenatus",1.68604696198031,21.0463664202246,"Matteo",46.9900971177163
"H. sapiens","Homo sapiens",2.680326224265,16.8919846667203,"Gabriel",95.3116243155096
"H. sapiens","Homo sapiens",1.69987020642644,49.9721338474797,"Matteo",113.40946458027
"H. frenatus","Hemidactylus frenatus",3.09366649650829,36.0070882367242,"Matteo",270.660495445317
"Curculionoidea","Curculionoidea",2.76630531309259,17.4872863837506,"Gabriel",105.102373936577
"H. hydrochaeris","Hydrochoerus hydrochaeris",1.88214982044976,23.8883408331958,"Mason",66.4636594239037
"S. serpentarius","Sagittarius serpentarius",1.48678954984661,18.1451991540269,"Matteo",31.5029062229716
